,监测点编码,监测点名称,城市,经度,纬度
162,2571A,青龙寺,凉山州,102.3419,27.8094
163,1391A,南城西平,东莞,113.7383333,22.96583333
164,2191A,艺术职业学校,通辽,122.2532,43.6801
165,2443A,文化路,孝感,113.9153,30.9285
166,1263A,监测站,金华,119.686,29.1029
167,1515A,天台山庄,株洲,113.135,27.8244
168,1841A,伍家岗,宜昌,111.3549,30.6463
169,2315A,平天湖,池州,117.4974,30.6539
170,1135A,香坊红旗大街,哈尔滨,126.685,45.7319
171,1461A,拉萨火车站,拉萨,91.0834,29.6292
172,1713A,市监测站,云浮,112.0369,22.9394
173,3450A,电白水东,茂名,111.01,21.5165
174,1007A,海淀区万柳,北京,116.315,39.9934
175,2659A,富康家世界子站,酒泉,98.5023,39.7294
176,1479A,铁路设计院,兰州,103.831,36.0464
177,3520A,妇女儿童医院,石嘴山,106.3495,38.9836
178,2014A,江东,义乌,120.091,29.305
179,1099A,浑南东路,沈阳,123.535,41.7561
180,2340A,蕉城区农机局,宁德,119.5202,26.6607
181,1677A,澄海子站,汕头,116.7519,23.4714
182,1929A,百米大道,延安,109.5056,36.6106
183,1160A,上方山,苏州,120.561,31.2472
184,2212A,宏伟区,辽阳,123.2,41.1953
185,3286A,桥北物流园区,赤峰,118.9359,42.3147
186,3538A,沙坝,黔南布依族苗族自治州,107.5175,26.2978
187,1032A,西南高教,石家庄,114.4586111,38.00583333
188,1610A,东城区,葫芦岛,120.8631,40.7736
189,2684A,监测站,固原,106.2792,36.0022
190,1230A,和睦小学,杭州,120.12,30.3119
191,2556A,川农大,雅安,103.0001,29.9816
192,2882A,玉溪一中,玉溪,102.5389,24.3702
193,1376A,高明孔堂,佛山,112.844,22.8693
194,1954A,独山子区,克拉玛依,84.8983,44.3336
195,1102A,东陵路,沈阳,123.542,41.8336
196,2176A,禹都开发区,运城,111.0233,35.0611
197,2428A,武当山,十堰,111.0419,32.395
198,1248A,市环保站,绍兴,120.576,30.007
199,1826A,世纪星幼儿园,开封,114.2886,34.7967
200,1194A,荣巷,无锡,120.245,31.5631
201,1446A,新华路,贵阳,106.7164,26.5697
202,3183A,圣泉水务公司,巴中,106.7417,31.8653
203,3435A,周山河街区,泰州,119.9192,32.4322
204,1318A,银行学校,郑州,113.675,34.8019
205,3055A,城北区政府,西宁,101.7775,36.6428
206,3307A,横岗,深圳,114.1871,22.6451
207,3633A,雨山,马鞍山,118.4918,31.6809
208,2453A,市立交桥水厂,随州,113.3983,31.7308
209,3505A,临港区管委会,威海,122.1379,37.3414
210,2073A,蓝田,漳州,117.7206,24.5086
